id_dim_producto,IMPORTE_TOTAL_CURSO,COD_MATRICULAS
0,320,CLFC295
3,599,CLFC149
11,903,CLFC77
15,10010,"CLFC133, CLFC142, CLFC187, CLFC211, CLFC225, CLFC262, CLFC263, CLFC278, CLFC352, CLFC372, CLFC403, CLFC477, CLFC487, CLFC494, CLFC503"
23,224,"CLFC203, CLFC369, CLFC459"
26,1179,"CLFC437, CLFC468"
40,456,"CLFC270, CLFC355, CLFC411, CLFC470"
47,722,CLFC414
48,2242,"CLFC119, CLFC159, CLFC382, CLFC496, CLFC510, CLFC552"
74,2090,"CLFC102, CLFC117, CLFC125, CLFC152, CLFC198, CLFC511, CLFC523, CLFC536, CLFC544, CLFC91, CLFC93"
75,270,"CLFC272, CLFC380, CLFC420"
82,320,CLFC104
84,175,CLFC156
96,1216,"CLFC188, CLFC349, CLFC42, CLFC73"
97,614,"CLFC235, CLFC317, CLFC337, CLFC432"
105,200,CLFC390
109,120,CLFC423
112,150,CLFC505
117,2087,"CLFC143, CLFC146, CLFC180, CLFC300, CLFC366, CLFC367, CLFC455, CLFC473, CLFC512, CLFC516, CLFC81, CLFC97"
125,599,CLFC63
127,150,CLFC215
128,4541,"CLFC185, CLFC230, CLFC231, CLFC267, CLFC275, CLFC276, CLFC347, CLFC435, CLFC463, CLFC85"
135,420,"CLFC374, CLFC433, CLFC539"
145,216,"CLFC288, CLFC314"
150,1104,"CLFC220, CLFC250"
158,220,CLFC335
161,367,"CLFC101, CLFC406, CLFC520"
168,1,CLFC38
172,380,CLFC109
199,455,"CLFC213, CLFC361, CLFC542"
200,110,CLFC84
202,2803,CLFC549
209,422,"CLFC350, CLFC509, CLFC90"
213,180,CLFC545
215,150,CLFC293
216,456,CLFC376
217,377,CLFC184
218,190,CLFC131
229,230,CLFC396
233,285,"CLFC107, CLFC99"
242,320,CLFC442
250,328,"CLFC327, CLFC394"
252,150,CLFC161
254,216,"CLFC206, CLFC363"
256,4902,"CLFC139, CLFC255, CLFC308, CLFC334, CLFC338, CLFC348, CLFC365, CLFC385, CLFC484, CLFC62, CLFC96"
264,85,CLFC471
266,873,"CLFC421, CLFC515, CLFC72, CLFC74, CLFC75"
272,320,CLFC485
276,1241,"CLFC326, CLFC381, CLFC402, CLFC447, CLFC453, CLFC483, CLFC64, CLFC83"
282,896,"CLFC100, CLFC416, CLFC498"
302,315,"CLFC115, CLFC513, CLFC98"
303,300,"CLFC108, CLFC238"
309,630,"CLFC319, CLFC426, CLFC481"
320,200,"CLFC170, CLFC413"
324,665,CLFC78
332,230,CLFC328
335,210,"CLFC132, CLFC160, CLFC445"
341,600,"CLFC370, CLFC458"
361,0,CLFC43
362,522,"CLFC166, CLFC397"
368,700,"CLFC201, CLFC214, CLFC333"
371,300,"CLFC162, CLFC79"
381,627,"CLFC137, CLFC178, CLFC325, CLFC417"
384,3484,"CLFC221, CLFC222, CLFC379, CLFC429, CLFC450, CLFC480, CLFC82"
389,320,CLFC126
395,266,"CLFC271, CLFC353, CLFC534"
410,361,CLFC86
411,1824,"CLFC123, CLFC183, CLFC399, CLFC46"
417,1606,"CLFC151, CLFC315, CLFC388, CLFC497, CLFC87"
429,150,CLFC181
433,160,"CLFC118, CLFC415"
440,250,CLFC340
444,1824,"CLFC122, CLFC155, CLFC177, CLFC50"
456,165,CLFC476
465,288,"CLFC248, CLFC264"
478,0,CLFC58
484,641,"CLFC116, CLFC232, CLFC491, CLFC94"
488,220,CLFC527
495,600,"CLFC224, CLFC329"
497,665,CLFC469
502,1035,"CLFC127, CLFC135, CLFC157, CLFC193, CLFC202, CLFC434, CLFC486"
505,110,CLFC92
527,1610,"CLFC251, CLFC404, CLFC71"
530,148,CLFC377
537,1932,"CLFC343, CLFC474, CLFC475"
542,352,"CLFC114, CLFC69"
545,840,"CLFC446, CLFC519, CLFC521, CLFC522, CLFC60"
547,420,"CLFC168, CLFC408, CLFC80"
548,360,"CLFC254, CLFC489"
558,300,"CLFC129, CLFC57"
559,200,"CLFC113, CLFC409"
