ID_DIM_PRODUCTO,COD_MATRICULA,IMPORTE_REPARTIDO
0,CLFC295,320.0
3,CLFC149,599.0
11,CLFC77,903.0
15,CLFC133,665.0
15,CLFC142,665.0
15,CLFC187,665.0
15,CLFC211,665.0
15,CLFC225,665.0
15,CLFC262,665.0
15,CLFC263,665.0
15,CLFC278,665.0
15,CLFC352,665.0
15,CLFC372,665.0
15,CLFC403,700.0
15,CLFC477,665.0
15,CLFC487,665.0
15,CLFC494,665.0
15,CLFC503,665.0
23,CLFC203,80.0
23,CLFC369,64.0
23,CLFC459,80.0
26,CLFC437,700.0
26,CLFC468,479.0
40,CLFC270,120.0
40,CLFC355,96.0
40,CLFC411,120.0
40,CLFC470,120.0
47,CLFC414,722.0
48,CLFC119,380.0
48,CLFC159,380.0
48,CLFC382,380.0
48,CLFC496,380.0
48,CLFC510,342.0
48,CLFC552,380.0
74,CLFC102,190.0
74,CLFC117,190.0
74,CLFC125,190.0
74,CLFC152,190.0
74,CLFC198,190.0
74,CLFC511,190.0
74,CLFC523,190.0
74,CLFC536,190.0
74,CLFC544,190.0
74,CLFC91,190.0
74,CLFC93,190.0
75,CLFC272,0.0
75,CLFC380,150.0
75,CLFC420,120.0
82,CLFC104,320.0
84,CLFC156,175.0
96,CLFC188,320.0
96,CLFC349,256.0
96,CLFC42,320.0
96,CLFC73,320.0
97,CLFC235,165.0
97,CLFC317,165.0
97,CLFC337,119.0
97,CLFC432,165.0
105,CLFC390,200.0
109,CLFC423,120.0
112,CLFC505,150.0
117,CLFC143,167.0
117,CLFC146,185.0
117,CLFC180,185.0
117,CLFC300,148.0
117,CLFC366,185.0
117,CLFC367,133.0
117,CLFC455,185.0
117,CLFC473,185.0
117,CLFC512,185.0
117,CLFC516,159.0
117,CLFC81,185.0
117,CLFC97,185.0
125,CLFC63,599.0
127,CLFC215,150.0
128,CLFC185,480.0
128,CLFC230,456.0
128,CLFC231,456.0
128,CLFC267,456.0
128,CLFC275,456.0
128,CLFC276,456.0
128,CLFC347,365.0
128,CLFC435,480.0
128,CLFC463,456.0
128,CLFC85,480.0
135,CLFC374,120.0
135,CLFC433,150.0
135,CLFC539,150.0
145,CLFC288,96.0
145,CLFC314,120.0
150,CLFC220,572.0
150,CLFC250,532.0
158,CLFC335,220.0
161,CLFC101,135.0
161,CLFC406,97.0
161,CLFC520,135.0
168,CLFC38,1.0
172,CLFC109,380.0
199,CLFC213,140.0
199,CLFC361,140.0
199,CLFC542,175.0
200,CLFC84,110.0
202,CLFC549,2803.0
209,CLFC350,112.0
209,CLFC509,155.0
209,CLFC90,155.0
213,CLFC545,180.0
215,CLFC293,150.0
216,CLFC376,456.0
217,CLFC184,377.0
218,CLFC131,190.0
229,CLFC396,230.0
233,CLFC107,150.0
233,CLFC99,135.0
242,CLFC442,320.0
250,CLFC327,164.0
250,CLFC394,164.0
252,CLFC161,150.0
254,CLFC206,120.0
254,CLFC363,96.0
256,CLFC139,410.0
256,CLFC255,410.0
256,CLFC308,410.0
256,CLFC334,480.0
256,CLFC338,456.0
256,CLFC348,456.0
256,CLFC365,456.0
256,CLFC385,456.0
256,CLFC484,456.0
256,CLFC62,456.0
256,CLFC96,456.0
264,CLFC471,85.0
266,CLFC421,133.0
266,CLFC515,185.0
266,CLFC72,185.0
266,CLFC74,185.0
266,CLFC75,185.0
272,CLFC485,320.0
276,CLFC326,165.0
276,CLFC381,119.0
276,CLFC402,165.0
276,CLFC447,165.0
276,CLFC453,132.0
276,CLFC483,165.0
276,CLFC64,165.0
276,CLFC83,165.0
282,CLFC100,320.0
282,CLFC416,256.0
282,CLFC498,320.0
302,CLFC115,105.0
302,CLFC513,105.0
302,CLFC98,105.0
303,CLFC108,150.0
303,CLFC238,150.0
309,CLFC319,225.0
309,CLFC426,180.0
309,CLFC481,225.0
320,CLFC170,100.0
320,CLFC413,100.0
324,CLFC78,665.0
332,CLFC328,230.0
335,CLFC132,70.0
335,CLFC160,70.0
335,CLFC445,70.0
341,CLFC370,300.0
341,CLFC458,300.0
361,CLFC43,0.0
362,CLFC166,290.0
362,CLFC397,232.0
368,CLFC201,250.0
368,CLFC214,250.0
368,CLFC333,200.0
371,CLFC162,150.0
371,CLFC79,150.0
381,CLFC137,165.0
381,CLFC178,165.0
381,CLFC325,165.0
381,CLFC417,132.0
384,CLFC221,494.0
384,CLFC222,494.0
384,CLFC379,520.0
384,CLFC429,494.0
384,CLFC450,494.0
384,CLFC480,494.0
384,CLFC82,494.0
389,CLFC126,320.0
395,CLFC271,95.0
395,CLFC353,76.0
395,CLFC534,95.0
410,CLFC86,361.0
411,CLFC123,456.0
411,CLFC183,456.0
411,CLFC399,456.0
411,CLFC46,456.0
417,CLFC151,320.0
417,CLFC315,355.0
417,CLFC388,256.0
417,CLFC497,320.0
417,CLFC87,355.0
429,CLFC181,150.0
433,CLFC118,80.0
433,CLFC415,80.0
440,CLFC340,250.0
444,CLFC122,456.0
444,CLFC155,456.0
444,CLFC177,456.0
444,CLFC50,456.0
456,CLFC476,165.0
465,CLFC248,160.0
465,CLFC264,128.0
478,CLFC58,0.0
484,CLFC116,175.0
484,CLFC232,140.0
484,CLFC491,151.0
484,CLFC94,175.0
488,CLFC527,220.0
495,CLFC224,300.0
495,CLFC329,300.0
497,CLFC469,665.0
502,CLFC127,135.0
502,CLFC135,150.0
502,CLFC157,150.0
502,CLFC193,150.0
502,CLFC202,150.0
502,CLFC434,150.0
502,CLFC486,150.0
505,CLFC92,110.0
527,CLFC251,532.0
527,CLFC404,479.0
527,CLFC71,599.0
530,CLFC377,148.0
537,CLFC343,532.0
537,CLFC474,700.0
537,CLFC475,700.0
542,CLFC114,185.0
542,CLFC69,167.0
545,CLFC446,175.0
545,CLFC519,175.0
545,CLFC521,175.0
545,CLFC522,175.0
545,CLFC60,140.0
547,CLFC168,150.0
547,CLFC408,120.0
547,CLFC80,150.0
548,CLFC254,180.0
548,CLFC489,180.0
558,CLFC129,150.0
558,CLFC57,150.0
559,CLFC113,100.0
559,CLFC409,100.0
